"N° ordine
(ex ID
Sepack)"	ID Sepack	Data Evasione	Richiedente	Nome pacchetto carta	"Descrizione campione
(Ex Identificazione del campione)
"	Codice analisi	"valore
(ex Nota parametro/analisi richiesta)"	"NotaParam
(Ex Nota generale sul campione)"
25-000362	25LD00815	2025-06-01	3P PRODUZIONI PLASTICHE		COPERCHIO IN PS COLORE BIANCO	1221PCNT		
25-000362	25LD00815	2025-06-01	3P PRODUZIONI PLASTICHE		COPERCHIO IN PS COLORE BIANCO	1256CNT		
25-000362	25LD00815	2025-06-01	3P PRODUZIONI PLASTICHE		COPERCHIO IN PS COLORE BIANCO	1293CNT		
25-000362	25LD00815	2025-06-01	3P PRODUZIONI PLASTICHE		COPERCHIO IN PS COLORE BIANCO	1702		
25-000362	25LD00815	2025-06-01	3P PRODUZIONI PLASTICHE		COPERCHIO IN PS COLORE BIANCO	1705IMB		
25-000371	25LD00844	2025-07-28	ANFOSSI S.R.L.		CAPSULA NUTELLA VASO G3000 ROSSA	0006_EXT		
25-000378	25LD00862	2025-06-05	VETRORESINA SENIO S.R.L.		Silos in vetroresina	1605DMx3	2 gg 20°C	antipare RDP a consulenza prima di emetterli
25-000378	25LD00862	2025-06-05	VETRORESINA SENIO S.R.L.		Silos in vetroresina	1606DMx3	10gg 40°C	antipare RDP a consulenza prima di emetterli
25-000378	25LD00862	2025-06-05	VETRORESINA SENIO S.R.L.		Silos in vetroresina	1615ADM	10gg 40°C	antipare RDP a consulenza prima di emetterli
25-000378	25LD00862	2025-06-05	VETRORESINA SENIO S.R.L.		Silos in vetroresina	1615BDM	10gg 40°C	antipare RDP a consulenza prima di emetterli
25-000378	25LD00862	2025-06-05	VETRORESINA SENIO S.R.L.		Silos in vetroresina	1501Bx3	10gg 60°C	antipare RDP a consulenza prima di emetterli
25-000378	25LD00862	2025-06-05	VETRORESINA SENIO S.R.L.		Silos in vetroresina	1502Bx3	10gg 60°C	antipare RDP a consulenza prima di emetterli
25-000378	25LD00862	2025-06-05	VETRORESINA SENIO S.R.L.		Silos in vetroresina	6015Bx3	10gg 60°C	antipare RDP a consulenza prima di emetterli
25-000378	25LD00862	2025-06-05	VETRORESINA SENIO S.R.L.		Silos in vetroresina	1702		
25-000378	25LD00862	2025-06-05	VETRORESINA SENIO S.R.L.		Silos in vetroresina	0000	1705IMB	
25-000378	25LD00863	2025-06-01	VETRORESINA SENIO S.R.L.		Silos in vetroresina	0000	1123SQ	anticipare RT a consulenza prima di emetterli
25-000378	25LD00863	2025-06-01	VETRORESINA SENIO S.R.L.		Silos in vetroresina	1123SQLIE95	10gg 40°C	anticipare RT a consulenza prima di emetterli
25-000378	25LD00863/01	2025-06-01	VETRORESINA SENIO S.R.L.		Silos in vetroresina	1124SQ		anticipare RT a consulenza prima di emetterli
25-000378	25LD00864	2025-08-01	VETRORESINA SENIO S.R.L.		Assistenza tecnico-specialistica per la valutazione del rischio per componenti di macchina a contatto con gli alimenti e predisposizione del dossier tecnico, ai sensi del Reg. (CE) 1935/2004 e s.m.i e Reg. (CE) 2023/2006 e s.m.i. Predisposizione Dossier	0004_EXT		attività da remoto
25-000378	25LD00862/01	2025-06-01	VETRORESINA SENIO S.R.L.		Silos in vetroresina	1705IMB		
25-000378	25LD00863/01	2025-06-01	VETRORESINA SENIO S.R.L.		Silos in vetroresina	1123SQE95		anticipare RT a consulenza prima di emetterli
25-000378	25LD00863/02	2025-06-01	VETRORESINA SENIO S.R.L.		Silos in vetroresina	3016M		
25-000380	25LD00865	2025-06-05	VETRORESINA SENIO S.R.L.		silos resina invernale (worst case)	6127ISO_BfR	10gg 20°C	antipare RDP a consulenza prima di emetterli
25-000380	25LD00865	2025-06-05	VETRORESINA SENIO S.R.L.		silos resina invernale (worst case)	1146ISOx3	10gg 20°C	antipare RDP a consulenza prima di emetterli
25-000380	25LD00865	2025-06-05	VETRORESINA SENIO S.R.L.		silos resina invernale (worst case)	1410NPE95x3	10gg 60°C	antipare RDP a consulenza prima di emetterli
25-000380	25LD00865	2025-06-05	VETRORESINA SENIO S.R.L.		silos resina invernale (worst case)	6087E95x3	10gg 60°C	antipare RDP a consulenza prima di emetterli
25-000380	25LD00865	2025-06-05	VETRORESINA SENIO S.R.L.		silos resina invernale (worst case)	9017EtOHx3	10gg 60°C	antipare RDP a consulenza prima di emetterli
25-000380	25LD00865	2025-06-05	VETRORESINA SENIO S.R.L.		silos resina invernale (worst case)	9018ISOx3	10gg 20°C	antipare RDP a consulenza prima di emetterli
25-000380	25LD00865	2025-06-05	VETRORESINA SENIO S.R.L.		silos resina invernale (worst case)	1383		
25-000382	25LD00869	2025-06-01	GEGRAF S.R.L.		PET + PE - Lotto 35.653 del 24/03/25	1604UE	10gg 40°C	
25-000382	25LD00869	2025-06-01	GEGRAF S.R.L.		PET + PE - Lotto 35.653 del 24/03/25	1501B	10gg 60°C	
25-000382	25LD00869	2025-06-01	GEGRAF S.R.L.		PET + PE - Lotto 35.653 del 24/03/25	1502B	10gg 60°C	
25-000382	25LD00869	2025-06-01	GEGRAF S.R.L.		PET + PE - Lotto 35.653 del 24/03/25	6015B	10gg 60°C	
25-000382	25LD00869	2025-06-01	GEGRAF S.R.L.		PET + PE - Lotto 35.653 del 24/03/25	6067B	10gg 60°C	
25-000382	25LD00869	2025-06-01	GEGRAF S.R.L.		PET + PE - Lotto 35.653 del 24/03/25	1177CNT		
25-000382	25LD00869	2025-06-01	GEGRAF S.R.L.		PET + PE - Lotto 35.653 del 24/03/25	1201CNT		
25-000382	25LD00869	2025-06-01	GEGRAF S.R.L.		PET + PE - Lotto 35.653 del 24/03/25	1202CNT		
25-000382	25LD00869	2025-06-01	GEGRAF S.R.L.		PET + PE - Lotto 35.653 del 24/03/25	1256CNT		
25-000382	25LD00869	2025-06-01	GEGRAF S.R.L.		PET + PE - Lotto 35.653 del 24/03/25	1452CNT		
25-000382	25LD00870	2025-06-01	GEGRAF S.R.L.		PET + PE - Lotto 35.653 del 24/03/25	1123SQ		
25-000382	25LD00870	2025-06-01	GEGRAF S.R.L.		PET + PE - Lotto 35.653 del 24/03/25	1123SQLIISO	2 gg 20°C	
25-000382	25LD00870	2025-06-01	GEGRAF S.R.L.		PET + PE - Lotto 35.653 del 24/03/25	1124SQ		
25-000384	25LD00873	2025-06-01	GHELFI ONDULATI SPA	Carta@FR@Pura@AllSub@SECCHI@Colorato@Freddo	SD-31881 P25-005547	1705CART_EXT		
25-000384	25LD00873	2025-06-01	GHELFI ONDULATI SPA	Carta@FR@Pura@AllSub@SECCHI@Colorato@Freddo	SD-31881 P25-005547	1701CART_EXT		
25-000384	25LD00873	2025-06-01	GHELFI ONDULATI SPA	Carta@FR@Pura@AllSub@SECCHI@Colorato@Freddo	SD-31881 P25-005547	1132F		
25-000384	25LD00873	2025-06-01	GHELFI ONDULATI SPA	Carta@FR@Pura@AllSub@SECCHI@Colorato@Freddo	SD-31881 P25-005547	6178	10gg 60°C	
25-000384	25LD00873	2025-06-01	GHELFI ONDULATI SPA	Carta@FR@Pura@AllSub@SECCHI@Colorato@Freddo	SD-31881 P25-005547	1390FR		
25-000384	25LD00873	2025-06-01	GHELFI ONDULATI SPA	Carta@FR@Pura@AllSub@SECCHI@Colorato@Freddo	SD-31881 P25-005547	1236FR		
25-000384	25LD00873	2025-06-01	GHELFI ONDULATI SPA	Carta@FR@Pura@AllSub@SECCHI@Colorato@Freddo	SD-31881 P25-005547	1502FRF_EXT		
25-000384	25LD00873	2025-06-01	GHELFI ONDULATI SPA	Carta@FR@Pura@AllSub@SECCHI@Colorato@Freddo	SD-31881 P25-005547	1255FR_EXT		
25-000384	25LD00873	2025-06-01	GHELFI ONDULATI SPA		SD-31881 P25-005547	1119FR_EXT		
25-000384	25LD00873	2025-06-01	GHELFI ONDULATI SPA		SD-31881 P25-005547	6127_EXT		
25-000388	25LD00878	2025-06-11	ECOL STUDIO SPA		Anello in acciaio inox	0023		
25-000388	25LD00879	2025-06-11	ECOL STUDIO SPA		Anello in acciaio inox	0023		
25-000388	25LD00880	2025-06-11	ECOL STUDIO SPA		Anello in acciaio inox	0023		
25-000388	25LD00881	2025-06-11	ECOL STUDIO SPA		Anello in acciaio inox	0023		
25-000388	25LD00882	2025-06-11	ECOL STUDIO SPA		Anello in acciaio inox	0023		
25-000388	25LD00883	2025-06-11	ECOL STUDIO SPA		Anello in acciaio inox	0023		
25-000388	25LD00884	2025-06-11	ECOL STUDIO SPA		Anello in acciaio inox	0023		
25-000388	25LD00885	2025-06-11	ECOL STUDIO SPA		Anello in acciaio inox	0023		
25-000388	25LD00886	2025-06-11	ECOL STUDIO SPA		Anello in acciaio inox	0023		
25-000388	25LD00887	2025-06-11	ECOL STUDIO SPA		Anello in acciaio inox	0023		
25-000399	25LD00902	2025-06-01	SIGMA INDUSTRIA GRAFICA S.R.L.		Vassoio carta con PET nero per forno	4004_INT	con lasagna surgelata in forno tradizionale a 190°C per 30 min, da eseguire in doppio	"ex campione 25LD00063 - per ogni prova funzionale valutare i seguenti aspetti:- deformazioni; - scollamenti; - ingiallimenti; - trasudazione di grassi/olii;- altri eventuali difetti_x000D_
"
25-000399	25LD00903	2025-06-01	SIGMA INDUSTRIA GRAFICA S.R.L.		Vassoio carta con PET nero per forno	4004_INT	con torta margherita 170°C per 30 min (in busta tipo marca Buitoni)	"ex campione 25LD00063 - per ogni prova funzionale valutare i seguenti aspetti:- deformazioni; - scollamenti; - ingiallimenti; - trasudazione di grassi/olii;- altri eventuali difetti_x000D_
"
25-000400	25LD00904	2025-06-02	PICCOLI PLAST SRL		Flacone in PET vergine con master verde	1601UE	10gg 40°C	
25-000400	25LD00904	2025-06-02	PICCOLI PLAST SRL		Flacone in PET vergine con master verde	1602UE	10gg 40°C	
25-000400	25LD00904	2025-06-02	PICCOLI PLAST SRL		Flacone in PET vergine con master verde	1604UE	10gg 40°C	
25-000400	25LD00904	2025-06-02	PICCOLI PLAST SRL		Flacone in PET vergine con master verde	1501B	10gg 60°C	
25-000400	25LD00904	2025-06-02	PICCOLI PLAST SRL		Flacone in PET vergine con master verde	1621A	10gg 40°C	
25-000400	25LD00904	2025-06-02	PICCOLI PLAST SRL		Flacone in PET vergine con master verde	1622B	10gg 40°C	
25-000400	25LD00904	2025-06-02	PICCOLI PLAST SRL		Flacone in PET vergine con master verde	1625D2	10gg 40°C	
25-000400	25LD00904	2025-06-02	PICCOLI PLAST SRL		Flacone in PET vergine con master verde	1502B	10gg 60°C	
25-000400	25LD00904	2025-06-02	PICCOLI PLAST SRL		Flacone in PET vergine con master verde	6015B	10gg 60°C	
25-000400	25LD00904	2025-06-02	PICCOLI PLAST SRL		Flacone in PET vergine con master verde	1249CNT		
25-000400	25LD00904	2025-06-02	PICCOLI PLAST SRL		Flacone in PET vergine con master verde	1254CNT		
25-000400	25LD00904	2025-06-02	PICCOLI PLAST SRL		Flacone in PET vergine con master verde	1410CNT		
25-000400	25LD00904	2025-06-02	PICCOLI PLAST SRL		Flacone in PET vergine con master verde	1701IMB		
25-000400	25LD00904	2025-06-02	PICCOLI PLAST SRL		Flacone in PET vergine con master verde	1705IMB		
25-000404	25LD00916	2025-06-01	RESAPLAST SRL		"VASCHETTA LT. 0,6 RETTANGOLARE ""BURRATA TRANSGOURMET"" DELIZIA COD. 019053.PL COMMESSA 007522 PRODUZIONE DEL 15/02/2025 - RJ766MO - LOTTO 3220012179 - SH950MO - LOTTO 24F30AA1 - ETICHETTA IML - LOTTO 2024-05151"	1601UE	10gg 40°C	
25-000404	25LD00916	2025-06-01	RESAPLAST SRL		"VASCHETTA LT. 0,6 RETTANGOLARE ""BURRATA TRANSGOURMET"" DELIZIA COD. 019053.PL COMMESSA 007522 PRODUZIONE DEL 15/02/2025 - RJ766MO - LOTTO 3220012179 - SH950MO - LOTTO 24F30AA1 - ETICHETTA IML - LOTTO 2024-05151"	1602UE	10gg 40°C	
25-000404	25LD00916	2025-06-01	RESAPLAST SRL		"VASCHETTA LT. 0,6 RETTANGOLARE ""BURRATA TRANSGOURMET"" DELIZIA COD. 019053.PL COMMESSA 007522 PRODUZIONE DEL 15/02/2025 - RJ766MO - LOTTO 3220012179 - SH950MO - LOTTO 24F30AA1 - ETICHETTA IML - LOTTO 2024-05151"	1604UE	10gg 40°C	
25-000404	25LD00916	2025-06-01	RESAPLAST SRL		"VASCHETTA LT. 0,6 RETTANGOLARE ""BURRATA TRANSGOURMET"" DELIZIA COD. 019053.PL COMMESSA 007522 PRODUZIONE DEL 15/02/2025 - RJ766MO - LOTTO 3220012179 - SH950MO - LOTTO 24F30AA1 - ETICHETTA IML - LOTTO 2024-05151"	4000		
25-000404	25LD00916	2025-06-01	RESAPLAST SRL		"VASCHETTA LT. 0,6 RETTANGOLARE ""BURRATA TRANSGOURMET"" DELIZIA COD. 019053.PL COMMESSA 007522 PRODUZIONE DEL 15/02/2025 - RJ766MO - LOTTO 3220012179 - SH950MO - LOTTO 24F30AA1 - ETICHETTA IML - LOTTO 2024-05151"	4001		
25-000404	25LD00916	2025-06-01	RESAPLAST SRL		"VASCHETTA LT. 0,6 RETTANGOLARE ""BURRATA TRANSGOURMET"" DELIZIA COD. 019053.PL COMMESSA 007522 PRODUZIONE DEL 15/02/2025 - RJ766MO - LOTTO 3220012179 - SH950MO - LOTTO 24F30AA1 - ETICHETTA IML - LOTTO 2024-05151"	1501B	10gg 60°C	
25-000404	25LD00916	2025-06-01	RESAPLAST SRL		"VASCHETTA LT. 0,6 RETTANGOLARE ""BURRATA TRANSGOURMET"" DELIZIA COD. 019053.PL COMMESSA 007522 PRODUZIONE DEL 15/02/2025 - RJ766MO - LOTTO 3220012179 - SH950MO - LOTTO 24F30AA1 - ETICHETTA IML - LOTTO 2024-05151"	1342A	10gg 60°C	
25-000404	25LD00916	2025-06-01	RESAPLAST SRL		"VASCHETTA LT. 0,6 RETTANGOLARE ""BURRATA TRANSGOURMET"" DELIZIA COD. 019053.PL COMMESSA 007522 PRODUZIONE DEL 15/02/2025 - RJ766MO - LOTTO 3220012179 - SH950MO - LOTTO 24F30AA1 - ETICHETTA IML - LOTTO 2024-05151"	1342B	10gg 60°C	
25-000404	25LD00916	2025-06-01	RESAPLAST SRL		"VASCHETTA LT. 0,6 RETTANGOLARE ""BURRATA TRANSGOURMET"" DELIZIA COD. 019053.PL COMMESSA 007522 PRODUZIONE DEL 15/02/2025 - RJ766MO - LOTTO 3220012179 - SH950MO - LOTTO 24F30AA1 - ETICHETTA IML - LOTTO 2024-05151"	1342D2	10gg 60°C	
25-000404	25LD00916	2025-06-01	RESAPLAST SRL		"VASCHETTA LT. 0,6 RETTANGOLARE ""BURRATA TRANSGOURMET"" DELIZIA COD. 019053.PL COMMESSA 007522 PRODUZIONE DEL 15/02/2025 - RJ766MO - LOTTO 3220012179 - SH950MO - LOTTO 24F30AA1 - ETICHETTA IML - LOTTO 2024-05151"	1502B	10gg 60°C	
25-000404	25LD00916	2025-06-01	RESAPLAST SRL		"VASCHETTA LT. 0,6 RETTANGOLARE ""BURRATA TRANSGOURMET"" DELIZIA COD. 019053.PL COMMESSA 007522 PRODUZIONE DEL 15/02/2025 - RJ766MO - LOTTO 3220012179 - SH950MO - LOTTO 24F30AA1 - ETICHETTA IML - LOTTO 2024-05151"	4010		
25-000404	25LD00916	2025-06-01	RESAPLAST SRL		"VASCHETTA LT. 0,6 RETTANGOLARE ""BURRATA TRANSGOURMET"" DELIZIA COD. 019053.PL COMMESSA 007522 PRODUZIONE DEL 15/02/2025 - RJ766MO - LOTTO 3220012179 - SH950MO - LOTTO 24F30AA1 - ETICHETTA IML - LOTTO 2024-05151"	6015B	10gg 60°C	
25-000404	25LD00916	2025-06-01	RESAPLAST SRL		"VASCHETTA LT. 0,6 RETTANGOLARE ""BURRATA TRANSGOURMET"" DELIZIA COD. 019053.PL COMMESSA 007522 PRODUZIONE DEL 15/02/2025 - RJ766MO - LOTTO 3220012179 - SH950MO - LOTTO 24F30AA1 - ETICHETTA IML - LOTTO 2024-05151"	1255CNT		
25-000404	25LD00916	2025-06-01	RESAPLAST SRL		"VASCHETTA LT. 0,6 RETTANGOLARE ""BURRATA TRANSGOURMET"" DELIZIA COD. 019053.PL COMMESSA 007522 PRODUZIONE DEL 15/02/2025 - RJ766MO - LOTTO 3220012179 - SH950MO - LOTTO 24F30AA1 - ETICHETTA IML - LOTTO 2024-05151"	6127P		
25-000404	25LD00916	2025-06-01	RESAPLAST SRL		"VASCHETTA LT. 0,6 RETTANGOLARE ""BURRATA TRANSGOURMET"" DELIZIA COD. 019053.PL COMMESSA 007522 PRODUZIONE DEL 15/02/2025 - RJ766MO - LOTTO 3220012179 - SH950MO - LOTTO 24F30AA1 - ETICHETTA IML - LOTTO 2024-05151"	1702		
25-000404	25LD00916	2025-06-01	RESAPLAST SRL		"VASCHETTA LT. 0,6 RETTANGOLARE ""BURRATA TRANSGOURMET"" DELIZIA COD. 019053.PL COMMESSA 007522 PRODUZIONE DEL 15/02/2025 - RJ766MO - LOTTO 3220012179 - SH950MO - LOTTO 24F30AA1 - ETICHETTA IML - LOTTO 2024-05151"	1705IMB		
25-000404	25LD00917	2025-06-01	RESAPLAST SRL		"VASCHETTA LT. 0,6 RETTANGOLARE ""BURRATA TRANSGOURMET"" DELIZIA COD. 019053.PL COMMESSA 007522 PRODUZIONE DEL 15/02/2025 - RJ766MO - LOTTO 3220012179 - SH950MO - LOTTO 24F30AA1 - ETICHETTA IML - LOTTO 2024-05151"	1123SQ		
25-000404	25LD00917	2025-06-01	RESAPLAST SRL		"VASCHETTA LT. 0,6 RETTANGOLARE ""BURRATA TRANSGOURMET"" DELIZIA COD. 019053.PL COMMESSA 007522 PRODUZIONE DEL 15/02/2025 - RJ766MO - LOTTO 3220012179 - SH950MO - LOTTO 24F30AA1 - ETICHETTA IML - LOTTO 2024-05151"	1124SQ		
25-000405	25LD00918	2025-06-01	RESAPLAST SRL		FONDO BICCHIERE BIANCO LT. 0,32 COD. 024070 PRODUZIONE DEL 17/04/2025 SU75AV - LOTTO 246382 - MST REMAFIN RK4 - LOTTO ITOA094460 ETICHETTA IML - LOTTO 2025-02117	1601UE	10gg 40°C	
25-000405	25LD00918	2025-06-01	RESAPLAST SRL		FONDO BICCHIERE BIANCO LT. 0,32 COD. 024070 PRODUZIONE DEL 17/04/2025 SU75AV - LOTTO 246382 - MST REMAFIN RK4 - LOTTO ITOA094460 ETICHETTA IML - LOTTO 2025-02117	1602UE	10gg 40°C	
25-000405	25LD00918	2025-06-01	RESAPLAST SRL		FONDO BICCHIERE BIANCO LT. 0,32 COD. 024070 PRODUZIONE DEL 17/04/2025 SU75AV - LOTTO 246382 - MST REMAFIN RK4 - LOTTO ITOA094460 ETICHETTA IML - LOTTO 2025-02117	1604UE	10gg 40°C	
25-000405	25LD00918	2025-06-01	RESAPLAST SRL		FONDO BICCHIERE BIANCO LT. 0,32 COD. 024070 PRODUZIONE DEL 17/04/2025 SU75AV - LOTTO 246382 - MST REMAFIN RK4 - LOTTO ITOA094460 ETICHETTA IML - LOTTO 2025-02117	4000		
25-000405	25LD00918	2025-06-01	RESAPLAST SRL		FONDO BICCHIERE BIANCO LT. 0,32 COD. 024070 PRODUZIONE DEL 17/04/2025 SU75AV - LOTTO 246382 - MST REMAFIN RK4 - LOTTO ITOA094460 ETICHETTA IML - LOTTO 2025-02117	4001		
25-000405	25LD00918	2025-06-01	RESAPLAST SRL		FONDO BICCHIERE BIANCO LT. 0,32 COD. 024070 PRODUZIONE DEL 17/04/2025 SU75AV - LOTTO 246382 - MST REMAFIN RK4 - LOTTO ITOA094460 ETICHETTA IML - LOTTO 2025-02117	1501B	10gg 60°C	
25-000405	25LD00918	2025-06-01	RESAPLAST SRL		FONDO BICCHIERE BIANCO LT. 0,32 COD. 024070 PRODUZIONE DEL 17/04/2025 SU75AV - LOTTO 246382 - MST REMAFIN RK4 - LOTTO ITOA094460 ETICHETTA IML - LOTTO 2025-02117	1621A	10gg 40°C	
25-000405	25LD00918	2025-06-01	RESAPLAST SRL		FONDO BICCHIERE BIANCO LT. 0,32 COD. 024070 PRODUZIONE DEL 17/04/2025 SU75AV - LOTTO 246382 - MST REMAFIN RK4 - LOTTO ITOA094460 ETICHETTA IML - LOTTO 2025-02117	1622B	10gg 40°C	
25-000405	25LD00918	2025-06-01	RESAPLAST SRL		FONDO BICCHIERE BIANCO LT. 0,32 COD. 024070 PRODUZIONE DEL 17/04/2025 SU75AV - LOTTO 246382 - MST REMAFIN RK4 - LOTTO ITOA094460 ETICHETTA IML - LOTTO 2025-02117	1625D2	10gg 40°C	
25-000405	25LD00918	2025-06-01	RESAPLAST SRL		FONDO BICCHIERE BIANCO LT. 0,32 COD. 024070 PRODUZIONE DEL 17/04/2025 SU75AV - LOTTO 246382 - MST REMAFIN RK4 - LOTTO ITOA094460 ETICHETTA IML - LOTTO 2025-02117	1502B	10gg 60°C	
25-000405	25LD00918	2025-06-01	RESAPLAST SRL		FONDO BICCHIERE BIANCO LT. 0,32 COD. 024070 PRODUZIONE DEL 17/04/2025 SU75AV - LOTTO 246382 - MST REMAFIN RK4 - LOTTO ITOA094460 ETICHETTA IML - LOTTO 2025-02117	4010		
25-000405	25LD00918	2025-06-01	RESAPLAST SRL		FONDO BICCHIERE BIANCO LT. 0,32 COD. 024070 PRODUZIONE DEL 17/04/2025 SU75AV - LOTTO 246382 - MST REMAFIN RK4 - LOTTO ITOA094460 ETICHETTA IML - LOTTO 2025-02117	6015B	10gg 60°C	
25-000405	25LD00918	2025-06-01	RESAPLAST SRL		FONDO BICCHIERE BIANCO LT. 0,32 COD. 024070 PRODUZIONE DEL 17/04/2025 SU75AV - LOTTO 246382 - MST REMAFIN RK4 - LOTTO ITOA094460 ETICHETTA IML - LOTTO 2025-02117	1119		
25-000405	25LD00918	2025-06-01	RESAPLAST SRL		FONDO BICCHIERE BIANCO LT. 0,32 COD. 024070 PRODUZIONE DEL 17/04/2025 SU75AV - LOTTO 246382 - MST REMAFIN RK4 - LOTTO ITOA094460 ETICHETTA IML - LOTTO 2025-02117	1255CNT		
25-000405	25LD00918	2025-06-01	RESAPLAST SRL		FONDO BICCHIERE BIANCO LT. 0,32 COD. 024070 PRODUZIONE DEL 17/04/2025 SU75AV - LOTTO 246382 - MST REMAFIN RK4 - LOTTO ITOA094460 ETICHETTA IML - LOTTO 2025-02117	1455CNT		
25-000405	25LD00918	2025-06-01	RESAPLAST SRL		FONDO BICCHIERE BIANCO LT. 0,32 COD. 024070 PRODUZIONE DEL 17/04/2025 SU75AV - LOTTO 246382 - MST REMAFIN RK4 - LOTTO ITOA094460 ETICHETTA IML - LOTTO 2025-02117	6127P		
25-000405	25LD00918	2025-06-01	RESAPLAST SRL		FONDO BICCHIERE BIANCO LT. 0,32 COD. 024070 PRODUZIONE DEL 17/04/2025 SU75AV - LOTTO 246382 - MST REMAFIN RK4 - LOTTO ITOA094460 ETICHETTA IML - LOTTO 2025-02117	1702		
25-000405	25LD00918	2025-06-01	RESAPLAST SRL		FONDO BICCHIERE BIANCO LT. 0,32 COD. 024070 PRODUZIONE DEL 17/04/2025 SU75AV - LOTTO 246382 - MST REMAFIN RK4 - LOTTO ITOA094460 ETICHETTA IML - LOTTO 2025-02117	1705IMB		
25-000405	25LD00919	2025-06-01	RESAPLAST SRL		FONDO BICCHIERE BIANCO LT. 0,32 COD. 024070 PRODUZIONE DEL 17/04/2025 SU75AV - LOTTO 246382 - MST REMAFIN RK4 - LOTTO ITOA094460 ETICHETTA IML - LOTTO 2025-02117	1123SQ		
25-000405	25LD00919	2025-06-01	RESAPLAST SRL		FONDO BICCHIERE BIANCO LT. 0,32 COD. 024070 PRODUZIONE DEL 17/04/2025 SU75AV - LOTTO 246382 - MST REMAFIN RK4 - LOTTO ITOA094460 ETICHETTA IML - LOTTO 2025-02117	1124SQ		
25-000411	25LD00939	2025-06-01	KÖR INNOVATIONS GERMANY GMBH		FBUKY2SHARPAKBRIDGWATERMASIN10	0007		prove in triplo
25-000411	25LD00939	2025-06-01	KÖR INNOVATIONS GERMANY GMBH		FBUKY2SHARPAKBRIDGWATERMASIN10	1123SQ		prove in triplo
25-000411	25LD00939	2025-06-01	KÖR INNOVATIONS GERMANY GMBH		FBUKY2SHARPAKBRIDGWATERMASIN10	1124SQ	1 h 150°C	prove in triplo
25-000411	25LD00939	2025-06-01	KÖR INNOVATIONS GERMANY GMBH		FBUKY2SHARPAKBRIDGWATERMASIN10	1127SQ		prove in triplo
25-000411	25LD00939	2025-06-01	KÖR INNOVATIONS GERMANY GMBH		FBUKY2SHARPAKBRIDGWATERMASIN10	3016M		prove in triplo
25-000411	25LD00940	2025-06-01	KÖR INNOVATIONS GERMANY GMBH		FBUKY2SHARPAKBRIDGWATERMASOU10	1255E95	10gg 40°C	prove in triplo
25-000411	25LD00940	2025-06-01	KÖR INNOVATIONS GERMANY GMBH		FBUKY2SHARPAKBRIDGWATERMASOU10	6088E95_EXT_KOR	10gg 40°C	prove in triplo
25-000411	25LD00940	2025-06-01	KÖR INNOVATIONS GERMANY GMBH		FBUKY2SHARPAKBRIDGWATERMASOU10	6089E95_EXT_KOR	10gg 40°C	prove in triplo
